"#","Reference","Qty","Value","Footprint","DNP"
"1","3V1","1","Battery_Cell","Battery:BatteryHolder_Keystone_1058_1x2032",""
"2","D1","1","Red","LED_THT:LED_D5.0mm",""
"3","R1","1","1k","Resistor_THT:R_Axial_DIN0411_L9.9mm_D3.6mm_P12.70mm_Horizontal",""
